Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"BUS_LV_96", 69, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"BUS_LV_97", 69, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"BUS_LV_98", 69, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"BUS_LV_99", 69, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"BUS_LV_100", 69, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"BUS_LV_101", 69, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"BUS_LV_102", 69, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"BUS_LV_103", 69, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"BUS_LV_104", 0.24, 1,    130.872,  -71.1,   0.94449, 2,    130.872,  168.9,   0.94449, 3,    130.872,   48.9,   0.94449
"BUS_LV_105", 0.24, 1,    130.852,  -71.1,   0.94434, 2,    130.852,  168.9,   0.94434, 3,    130.852,   48.9,   0.94434
"BUS_LV_106", 0.24, 1,    130.852,  -71.1,   0.94434, 2,    130.852,  168.9,   0.94434, 3,    130.852,   48.9,   0.94434
"BUS_LV_107", 0.24, 1,     130.81,  -71.1,   0.94404, 2,     130.81,  168.9,   0.94404, 3,     130.81,   48.9,   0.94404
"BUS_LV_108", 0.24, 1,    130.809,  -71.1,   0.94403, 2,    130.809,  168.9,   0.94403, 3,    130.809,   48.9,   0.94403
"BUS_LV_109", 0.24, 1,    130.808,  -71.2,   0.94403, 2,    130.808,  168.8,   0.94403, 3,    130.808,   48.8,   0.94403
"BUS_LV_110", 0.24, 1,     130.79,  -71.2,    0.9439, 2,     130.79,  168.8,    0.9439, 3,     130.79,   48.8,    0.9439
"BUS_LV_111", 0.24, 1,    130.771,  -71.2,   0.94376, 2,    130.771,  168.8,   0.94376, 3,    130.771,   48.8,   0.94376
"BUS_LV_112", 0.24, 1,     130.77,  -71.2,   0.94375, 2,     130.77,  168.8,   0.94375, 3,     130.77,   48.8,   0.94375
"BUS_LV_113", 0.24, 1,     130.77,  -71.2,   0.94375, 2,     130.77,  168.8,   0.94375, 3,     130.77,   48.8,   0.94375
"BUS_LV_114", 0.24, 1,    130.754,  -71.2,   0.94364, 2,    130.754,  168.8,   0.94364, 3,    130.754,   48.8,   0.94364
"BUS_LV_115", 0.24, 1,    130.754,  -71.2,   0.94363, 2,    130.754,  168.8,   0.94363, 3,    130.754,   48.8,   0.94363
"BUS_LV_116", 0.24, 1,    130.754,  -71.2,   0.94363, 2,    130.754,  168.8,   0.94363, 3,    130.754,   48.8,   0.94363
"BUS_LV_117", 0.24, 1,    130.752,  -71.2,   0.94362, 2,    130.752,  168.8,   0.94362, 3,    130.752,   48.8,   0.94362
